시군구,어린이집명코드,점수,어린이집명,어린이집유형,운영현황,우편번호,주소,전화번호,팩스번호,보육실수,보육실면적,놀이터수,보육교직원수,정원,현원,통학차량운영여부,위도,경도,홈페이지주소
강남구,1,,동원어린이집,직장,정상,6303,서울특별시 강남구 개포로15길 29 ,02-2058-2190,02-2058-2191,7,309,1,11,100,26,미운영,37.4802458,127.0457273,
강남구,2,,은가비어린이집,가정,정상,6312,서울특별시 강남구 논현로14길 20 승화빌딩 1층,02-571-0829,--,4,60,0,4,19,11,,37.4757497,127.0488845,
강남구,3,,푸른어린이집,국공립,정상,6372,서울특별시 강남구 자곡로7길 8-1 (자곡동),02-451-3655,02-3411-4508,5,381,2,13,74,72,미운영,37.4828741,127.1026357,
강남구,4,,일원어린이집,국공립,정상,6350,서울특별시 강남구 광평로3길 21 일원어린이집 (일원동),02-459-3221,02-459-3354,6,330,2,16,95,73,미운영,37.484047,127.077962,http://www.gncare.go.kr/gilwon
강남구,5,,명화어린이집,국공립,정상,6347,서울특별시 강남구 광평로51길 49 (수서동),02-459-0686,02-459-1948,7,210,1,13,86,64,미운영,37.491035,127.1002787,
강남구,6,,성아어린이집,국공립,정상,6301,서울특별시 강남구 논현로32길 16 성아어린이집 (도곡동),02-575-8323,02-575-8325,7,256,2,26,128,117,미운영,37.4840417,127.0435827,http://gncare.go.kr/gsunga
강남구,7,,선재어린이집,국공립,정상,6201,서울특별시 강남구 삼성로71길 31 선재어린이집 (대치동),02-561-3421,02-539-1240,7,830,1,26,162,147,미운영,37.5014488,127.056347,http://gncare.go.kr/gsunjae
강남구,8,,바롬어린이집,국공립,정상,6020,서울특별시 강남구 언주로164길 36 (신사동),02-516-4665,02-3442-2331,5,394,3,12,77,61,미운영,37.5255054,127.035436,
강남구,9,,민들레어린이집,국공립,정상,6368,서울특별시 강남구 광평로56길 11 (수서동),02-3412-7979,02-3412-7977,6,180,2,13,78,51,미운영,37.4872625,127.1051693,http://gncare.go.kr/gmindlre
강남구,10,,연화어린이집,국공립,정상,6058,서울특별시 강남구 학동로43길 17 ,02-542-7765,02-543-7765,6,778,2,20,114,110,미운영,37.5172158,127.0371731,kids.gangnam.go.kr
강남구,11,,예향어린이집,국공립,정상,6311,서울특별시 강남구 개포로22길 87 (개포동),02-3462-4048,02-3462-4049,4,155,1,12,50,44,미운영,37.4756728,127.0520896,
강남구,12,,성모어린이집,국공립,정상,6113,서울특별시 강남구 강남대로124길 65 (논현동),02-515-6572,02-515-6287,10,386,2,26,145,131,미운영,37.5097052,127.0252177,
강남구,13,,목련어린이집,국공립,정상,6336,서울특별시 강남구 개포로 617-8 ,02-3412-1998,02-3412-1997,6,293,2,26,109,99,미운영,37.4940068,127.0777343,http://gncare.go.kr/gmokryun
강남구,14,,선우어린이집,국공립,정상,6263,서울특별시 강남구 도곡로18길 9 (도곡동),02-578-6878,02-578-6877,8,341,1,21,159,117,미운영,37.4907331,127.0385003,"lovesunwo1@naver,com"
강남구,15,,압구정어린이집,국공립,정상,6024,서울특별시 강남구 언주로157길 8 (신사동),02-545-0868,02-545-3698,4,153,1,11,52,46,미운영,37.5268733,127.0343122,
강남구,16,,보명어린이집,민간,정상,6322,서울특별시 강남구 선릉로 7 서울 강남구 개포동 141-1,02-573-1811,070-8119-1834,4,395,1,7,89,37,운영,37.4789636,127.0621548,http://www.gncare.go.kr/bomyung
강남구,17,,삼성서울병원 어린이집,직장,정상,6353,서울특별시 강남구 광평로31길 66 (수서동),02-3411-9141,02-3411-9144,14,685,2,46,250,221,미운영,37.4855195,127.0880345,
강남구,18,,한티어린이집,국공립,정상,6283,서울특별시 강남구 영동대로57길 7 대치문화복지회관 3층 (대치동),02-501-0079,02-501-0072,8,332,1,22,124,109,미운영,37.4999383,127.0669377,http://gncare.go.kr/ghanti
강남구,19,,논현제일어린이집,민간,정상,6122,서울특별시 강남구 봉은사로25길 28 삼창빌딩 201호 논현제일어린이집,02-3442-1940,--,3,111,1,5,26,13,미운영,37.5087928,127.0322714,
강남구,20,,방죽어린이집,국공립,정상,6377,서울특별시 강남구 밤고개로24길 75 (율현동),02-451-2374,02-451-5002,7,224,2,21,97,97,미운영,37.4698837,127.1045671,
강남구,21,,사과나무어린이집,민간,정상,6113,서울특별시 강남구 학동로12길 16 (논현동),02-516-1807,02-514-3137,7,234,1,16,88,82,운영,37.5110672,127.0257633,
강남구,22,,강남아이트라움어린이집,민간,정상,6339,서울특별시 강남구 개포로124길 13 (일원동),02-2226-5600,02-2226-6812,8,262,1,15,91,67,운영,37.4937497,127.0830243,
강남구,23,,꿈땅어린이집,가정,정상,6208,서울특별시 강남구 도곡로73길 11 라이트빌 1층,02-553-6447,02-553-6447,3,69,1,7,20,16,미운영,37.4985801,127.0570205,
강남구,24,,강남어린이집,국공립,정상,6335,서울특별시 강남구 개포로109길 5 강남종합사회복지관 1층 강남어린이집(개포동 12번지),02-451-0350,02-451-3909,5,189,2,18,80,78,미운영,37.4922493,127.074588,http://kids.gangnam.go.kr
강남구,25,,수서어린이집,국공립,정상,6362,서울특별시 강남구 광평로 242 (수서동),02-3412-4208,02-451-4208,6,186,1,15,85,80,미운영,37.4861348,127.0990541,www.gncare.go.kr/gsuseo
강남구,26,,구민회관어린이집,국공립,정상,6288,서울특별시 강남구 삼성로 154 (대치동),02-501-6057,02-501-6058,5,212,1,14,72,69,미운영,37.493823,127.0642132,http://gncare.go.kr/ggumin
강남구,27,,자람어린이집,민간,정상,6343,서울특별시 강남구 일원로5길 29 (일원동),02-3411-2555,02-3411-2506,6,363,2,13,100,72,미운영,37.4916658,127.0829367,
강남구,28,,짐랜드어린이집,민간,정상,6315,서울특별시 강남구 개포로22길 100 (개포동),02-575-6756,02-574-6756,5,82,0,8,38,25,운영,37.4753909,127.0533402,
강남구,29,,포이사임당어린이집,민간,정상,6315,서울특별시 강남구 논현로8길 52 서울빌딩2층,02-575-8096,02-575-8096,3,65,1,8,26,12,미운영,37.4746863,127.052937,www.aga24.net
