시군구,어린이집명,어린이집유형,운영현황,통학차량운영여부
강남구,동원어린이집,직장,정상,미운영
강남구,은가비어린이집,가정,정상,
강남구,푸른어린이집,국공립,정상,미운영
강남구,일원어린이집,국공립,정상,미운영
강남구,명화어린이집,국공립,정상,미운영
강남구,성아어린이집,국공립,정상,미운영
강남구,선재어린이집,국공립,정상,미운영
강남구,바롬어린이집,국공립,정상,미운영
강남구,민들레어린이집,국공립,정상,미운영
강남구,연화어린이집,국공립,정상,미운영
강남구,예향어린이집,국공립,정상,미운영
강남구,성모어린이집,국공립,정상,미운영
강남구,목련어린이집,국공립,정상,미운영
강남구,선우어린이집,국공립,정상,미운영
강남구,압구정어린이집,국공립,정상,미운영
강남구,보명어린이집,민간,정상,운영
강남구,삼성서울병원 어린이집,직장,정상,미운영
강남구,한티어린이집,국공립,정상,미운영
강남구,논현제일어린이집,민간,정상,미운영
강남구,방죽어린이집,국공립,정상,미운영
강남구,사과나무어린이집,민간,정상,운영
강남구,강남아이트라움어린이집,민간,정상,운영
강남구,꿈땅어린이집,가정,정상,미운영
강남구,강남어린이집,국공립,정상,미운영
강남구,수서어린이집,국공립,정상,미운영
강남구,구민회관어린이집,국공립,정상,미운영
강남구,자람어린이집,민간,정상,미운영
강남구,짐랜드어린이집,민간,정상,운영
강남구,포이사임당어린이집,민간,정상,미운영
강남구,사랑어린이집,민간,정상,운영
강남구,단비어린이집,민간,정상,미운영
강남구,아이뜰어린이집,민간,정상,운영
강남구,다솔어린이집,국공립,정상,미운영
강남구,해피어린이집,민간,정상,미운영
강남구,한솔어린이집,가정,정상,운영
강남구,초망몬테소리어린이집,민간,정상,운영
강남구,개포어린이집,국공립,정상,미운영
강남구,보배어린이집,가정,정상,미운영
강남구,수서서머힐어린이집,민간,정상,운영
강남구,또래어린이집,민간,정상,미운영
강남구,일원사임당어린이집,민간,정상,미운영
강남구,나하나어린이집,가정,정상,운영
강남구,역삼럭키어린이집,가정,정상,미운영
강남구,하늘숲어린이집,민간,정상,운영
강남구,선릉삼성어린이집,민간,정상,미운영
강남구,강남동산어린이집,민간,정상,운영
강남구,삐아제어린이집,민간,정상,미운영
강남구,신사어린이집,국공립,정상,미운영
강남구,강남영재어린이집,민간,정상,미운영
강남구,삼성아이사랑어린이집,가정,재개,미운영
강남구,클레어린이집,민간,정상,운영
강남구,초록나라어린이집,민간,정상,미운영
강남구,미래클어린이집,가정,정상,미운영
강남구,천사어린이집,가정,정상,미운영
강남구,큰별어린이집,가정,정상,미운영
강남구,에듀케어어린이집,가정,정상,미운영
강남구,포그니어린이집,가정,정상,운영
강남구,꿈사랑몬테소리어린이집,민간,정상,미운영
강남구,베베키즈룸어린이집,민간,정상,미운영
강남구,소꿉 어린이집,가정,정상,미운영
강남구,현이어린이집,가정,정상,미운영
강남구,꿈별어린이집,가정,정상,미운영
강남구,아이세상어린이집,가정,휴지,
강남구,아름어린이집,민간,정상,운영
강남구,은마어린이집,가정,정상,미운영
강남구,예은몬테소리어린이집,민간,휴지,미운영
강남구,아기우성 어린이집,가정,정상,미운영
강남구,빛나 어린이집,가정,정상,미운영
강남구,베스트베이비어린이집,가정,정상,미운영
강남구,여명어린이집,민간,정상,미운영
강남구,아크로힐스논현어린이집,민간,정상,미운영
강남구,예쁜어린이집,민간,정상,미운영
강남구,충현복지재단충현어린이집,민간,정상,미운영
강남구,이화어린이집,가정,정상,운영
강남구,예원어린이집,가정,정상,미운영
강남구,준현어린이집,민간,정상,운영
강남구,아이큰숲어린이집,민간,정상,미운영
강남구,애솔 어린이집,가정,정상,미운영
강남구,서울주택도시공사 으뜸어린이집,직장,정상,미운영
강남구,샛별 어린이집,가정,정상,미운영
강남구,개포좋은어린이집,민간,휴지,운영
강남구,현대키즈어린이집,가정,정상,미운영
강남구,하은어린이집,가정,정상,미운영
강남구,태화어린이집,민간,정상,미운영
강남구,은성어린이집,가정,정상,미운영
강남구,도곡어린이집,국공립,정상,미운영
강남구,구립선재놀이방어린이집,국공립,정상,미운영
강남구,오르다어린이집,국공립,정상,미운영
강남구,퍼스트클래스룸어린이집,민간,정상,운영
강남구,튼튼영재어린이집,민간,정상,운영
강남구,청담어린이집,국공립,정상,미운영
강남구,대치삼성어린이집,민간,정상,미운영
강남구,대치어린이집,국공립,정상,미운영
강남구,강남사임당어린이집,민간,재개,미운영
강남구,강남서머힐어린이집,민간,정상,운영
강남구,늘푸른어린이집,민간,정상,운영
강남구,역삼어린이집,국공립,정상,미운영
강남구,역삼래미안어린이집,민간,정상,미운영
강남구,해맑은어린이집,민간,정상,운영
강남구,대청어린이집,국공립,정상,미운영
강남구,삼육어린이집,가정,정상,미운영
강남구,예지어린이집,국공립,정상,미운영
강남구,수진영재어린이집,민간,정상,운영
강남구,리틀바움어린이집,민간,정상,미운영
강남구,신우주어린이집,민간,정상,운영
강남구,강남토토빌어린이집,민간,정상,운영
강남구,이키즈랜드어린이집,민간,휴지,
강남구,현지아한솔어린이집,민간,정상,미운영
강남구,킹스키즈어린이집,민간,정상,운영
강남구,역삼푸르지오어린이집,민간,정상,미운영
강남구,우리누리 어린이집,직장,정상,미운영
강남구,청수어린이집,국공립,정상,미운영
강남구,보람어린이집,국공립,정상,미운영
강남구,청마을어린이집,국공립,정상,미운영
강남구,역삼가애어린이집,국공립,정상,미운영
강남구,동명어린이집,가정,정상,운영
강남구,인성어린이집,가정,정상,미운영
강남구,딩동댕어린이집,가정,휴지,
강남구,태화초록교실어린이집,민간,정상,미운영
강남구,삼성어린이집,국공립,정상,운영
강남구,무역센터 꿈나무 어린이집,직장,정상,미운영
강남구,도곡사임당어린이집,가정,정상,미운영
강남구,언북 어린이집,국공립,정상,미운영
강남구,대치아이리베슐레어린이집,민간,정상,미운영
강남구,하늘어린이집,가정,정상,미운영
강남구,강남힐스어린이집,민간,정상,미운영
강남구,연세중앙어린이집,가정,정상,미운영
강남구,아이세상어린이집,가정,정상,미운영
강남구,압구정코코어린이집,민간,정상,미운영
강남구,포스코어린이집,직장,정상,미운영
강남구,e-편한어린이집,민간,정상,미운영
강남구,한별어린이집,국공립,정상,미운영
강남구,브레인어린이집,가정,정상,미운영
강남구,압구정아람어린이집,국공립,정상,미운영
강남구,브니엘어린이집,가정,정상,미운영
강남구,한국타이어 동그라미 어린이집,직장,정상,미운영
강남구,리틀삼육어린이집,가정,정상,미운영
강남구,리나어린이집,가정,정상,미운영
강남구,강남키즈랜드어린이집,민간,정상,미운영
강남구,햇살가득 어린이집,가정,정상,미운영
강남구,예원몬테소리어린이집,가정,정상,미운영
강남구,리엔어린이집,민간,정상,미운영
강남구,큰꿈 어린이집,가정,정상,미운영
강남구,구름빵어린이집,민간,정상,미운영
강남구,호야 어린이집,가정,정상,미운영
강남구,꼬꼬마 어린이집,가정,정상,미운영
강남구,꼬꼬맘 어린이집,가정,정상,미운영
강남구,키즈랜드어린이집,민간,정상,미운영
강남구,그레이튼어린이집,민간,정상,미운영
강남구,아이꿈 어린이집,가정,정상,미운영
강남구,동화속어린이집,민간,정상,미운영
강남구,대웅 리틀베어 어린이집,직장,정상,미운영
강남구,자곡단비어린이집,가정,정상,미운영
강남구,사랑나무 어린이집,가정,정상,미운영
강남구,행복누리 어린이집,가정,휴지,미운영
강남구,엔젤스타 어린이집,가정,정상,미운영
강남구,밀튼어린이집,민간,정상,미운영
강남구,지예슬어린이집,직장,정상,미운영
강남구,청담샛별(강남구청직장분원)어린이집,직장,정상,미운영
강남구,포도나무 어린이집,가정,정상,미운영
강남구,IBK 참 ! 좋은 어린이집,직장,정상,미운영
강남구,초록어린이집,국공립,정상,미운영
강남구,보미나어린이집,국공립,정상,미운영
강남구,강남구청 직장어린이집,직장,정상,미운영
강남구,아기사랑 어린이집,가정,정상,미운영
강남구,자곡나무어린이집,민간,정상,운영
강남구,우리어린이집,국공립,정상,미운영
강남구,조이너스어린이집,가정,정상,미운영
강남구,담희어린이집,민간,정상,미운영
강남구,미래나무어린이집,직장,정상,운영
강남구,대치사랑어린이집,가정,정상,미운영
강남구,해나무어린이집,가정,정상,미운영
강남구,키즈열매어린이집,가정,정상,미운영
강남구,마술피리어린이집,가정,정상,미운영
강남구,세곡키즈어린이집,가정,정상,미운영
강남구,은하수어린이집,가정,휴지,미운영
강남구,세곡푸르지오어린이집,국공립,정상,미운영
강남구,베스트에코비어린이집,가정,정상,미운영
강남구,다솜어린이집,가정,정상,미운영
강남구,엔젤어린이집,가정,휴지,미운영
강남구,이베이코리아베이트리어린이집,직장,정상,미운영
강남구,그림어린이집,가정,정상,미운영
강남구,한신휴플러스어린이집,민간,정상,미운영
강남구,래미안도곡카운티어린이집,민간,정상,미운영
강남구,가온어린이집,국공립,정상,미운영
강남구,수연어린이집,국공립,정상,미운영
강남구,조이빅스맘어린이집,민간,정상,미운영
강남구,예다솜어린이집,국공립,정상,미운영
강남구,서이어린이집,가정,정상,미운영
강남구,라온 어린이집,가정,정상,미운영
강남구,신한마리오어린이집,국공립,정상,미운영
강남구,예꿈어린이집,가정,정상,미운영
강남구,대치도담 어린이집,국공립,정상,미운영
강남구,가로수 어린이집,국공립,정상,미운영
강남구,세곡연두 어린이집,국공립,정상,미운영
강남구,이레어린이집,가정,정상,미운영
강남구,LH서울어린이집,직장,정상,미운영
강남구,풀무원어린이집,직장,정상,미운영
강남구,삼성숲어린이집,민간,정상,미운영
강남구,무지개어린이집,가정,정상,미운영
강남구,아이비어린이집,가정,휴지,미운영
강남구,세곡나비어린이집,국공립,정상,미운영
강남구,세곡햇빛어린이집,국공립,정상,미운영
강남구,꼬망새어린이집,가정,정상,미운영
강남구,광림어린이집,민간,정상,미운영
강남구,아이맘어린이집,가정,정상,미운영
강남구,숲속이네어린이집,가정,정상,미운영
강남구,산들어린이집,국공립,정상,미운영
강남구,자곡어린이집,국공립,정상,미운영
강남구,토리에코비어린이집,가정,정상,미운영
강남구,자곡아이파크어린이집,가정,정상,미운영
강남구,에코비어린이집,가정,정상,미운영
강남구,강남아이자람어린이집,가정,정상,미운영
강남구,힐즈어린이집,협동,정상,미운영
강남구,GKL행복어린이집,직장,정상,미운영
강남구,세아별어린이집,직장,정상,운영
강남구,예쁜꿈어린이집,가정,정상,미운영
강남구,창의나무아이파크어린이집,민간,정상,미운영
강남구,힐스어린이집,국공립,정상,미운영
강남구,GS리테일 푸르니 어린이집,직장,정상,미운영
강남구,키즈하버드어린이집,가정,정상,미운영
강남구,엘림어린이집,민간,정상,운영
강남구,솔빛어린이집,직장,정상,미운영
강남구,아이플러스어린이집,민간,정상,미운영
강남구,강남세브란스어린이집,직장,정상,미운영
강남구,꿈드림 어린이집,가정,정상,미운영
강남구,대치팰리스어린이집,민간,정상,미운영
강남구,아이앤어린이집,직장,정상,미운영
강남구,한섬아이어린이집,직장,정상,미운영
강남구,청담키즈어린이집,가정,정상,미운영
강남구,킨더바움어린이집,민간,정상,미운영
강남구,서울세관 직장어린이집,직장,정상,미운영
강남구,놀이존어린이집,직장,정상,미운영
강남구,한울어린이집,국공립,정상,미운영
강남구,GKL행복(강남 코엑스2호점)어린이집,직장,정상,미운영
강남구,오뚜기 어린이집,직장,정상,
강동구,애지어린이집,사회복지법인,정상,미운영
강동구,강동구청직장어린이집,직장,정상,미운영
강동구,구립성내일어린이집,국공립,정상,미운영
강동구,키즈랜드어린이집,민간,정상,운영
