gu,total,pub,welfare,corporate,priv,home,parental,Job,,,
gangdong,284,53,1,2,108,117,0,3,,,
songpa,421,57,1,5,146,195,2,15,,,
gangnam,231,53,0,0,71,81,1,25,,,
seocho,206,61,0,1,44,79,2,19,,,
gwanak,280,66,4,6,93,106,0,5,,,
dongjak,230,53,3,2,74,90,1,7,,,
yeongdeungpo,263,54,2,1,77,99,0,30,,,
Geumcheon,174,45,1,13,54,53,1,7,,,
guro,341,60,3,8,97,158,6,9,,,
gangseo,441,70,2,3,145,212,1,8,,,
yangcheon,331,66,0,3,86,169,1,6,,,
mapo,213,62,0,6,51,78,4,12,,,
seodaemun,158,47,0,3,51,51,1,5,,,
eunpyeong,294,41,1,7,158,84,1,2,,,
nohwon,478,57,4,1,78,330,1,7,,,
dobong,255,42,1,2,77,129,2,2,,,
gangbuk,174,46,1,3,72,49,1,2,,,
seongbuk,298,66,3,17,95,110,1,6,,,
hungnang,252,39,1,4,101,105,0,2,,,
dongdaemun,228,55,0,3,69,92,0,9,,, 
gwangjin,214,34,0,4,106,65,2,3,,,
seongdong,190,70,0,3,40,70,0,7,,,
yongsan,128,28,2,9,28,51,1,9,,,
jung,67,21,0,7,7,14,0,18,,,
jongro,75,28,2,3,11,5,0,26,,,
,,,,,,,,,,,
